Adj Close,Close,Date,High,Low,Open,Volume,"description:""Encountered an error when generating the download data""}}}","error:{""code"":""Not Found""","{""chart"":{""result"":null"
1.08,1.08,2011-04-11,1.08,1.08,1.08,889.0,,,
1.0125,1.0125,2011-04-12,1.0125,1.0125,1.0125,444.0,,,
,,2011-04-13,,,,,,,
,,2011-04-14,,,,,,,
,,2011-04-15,,,,,,,
,,2011-04-18,,,,,,,
,,2011-04-19,,,,,,,
,,2011-04-20,,,,,,,
,,2011-04-21,,,,,,,
1.125,1.125,2011-04-27,1.125,1.125,1.125,1022.0,,,
1.125,1.125,2011-04-28,1.125,1.125,1.125,1556.0,,,
1.35,1.35,2011-04-29,1.35,1.35,1.35,2222.0,,,
,,2011-05-02,,,,,,,
,,2011-05-03,,,,,,,
1.35,1.35,2011-05-04,1.35,1.35,1.35,2578.0,,,
,,2011-05-05,,,,,,,
1.35,1.35,2011-05-06,1.35,1.35,1.35,978.0,,,
1.35,1.35,2011-05-09,1.35,1.35,1.35,800.0,,,
,,2011-05-10,,,,,,,
,,2011-05-11,,,,,,,
,,2011-05-12,,,,,,,
,,2011-05-13,,,,,,,
,,2011-05-16,,,,,,,
,,2011-05-17,,,,,,,
,,2011-05-18,,,,,,,
,,2011-05-19,,,,,,,
,,2011-05-20,,,,,,,
,,2011-05-23,,,,,,,
,,2011-05-24,,,,,,,
0.945,0.945,2011-05-25,0.945,0.945,0.945,3112.0,,,
1.125,1.125,2011-05-26,1.125,1.125,1.125,1111.0,,,
,,2011-05-27,,,,,,,
1.125,1.125,2011-05-30,1.125,1.125,1.125,1111.0,,,
,,2011-05-31,,,,,,,
,,2011-06-01,,,,,,,
,,2011-06-02,,,,,,,
,,2011-06-03,,,,,,,
,,2011-06-06,,,,,,,
,,2011-06-07,,,,,,,
,,2011-06-08,,,,,,,
,,2011-06-09,,,,,,,
,,2011-06-10,,,,,,,
,,2011-06-14,,,,,,,
,,2011-06-15,,,,,,,
,,2011-06-16,,,,,,,
0.855,0.855,2011-06-17,0.9,0.855,0.9,1778.0,,,
,,2011-06-20,,,,,,,
,,2011-06-21,,,,,,,
,,2011-06-22,,,,,,,
0.855,0.855,2011-06-23,0.9,0.855,0.9,1378.0,,,
0.855,0.855,2011-06-24,0.9,0.855,0.9,5511.0,,,
,,2011-06-27,,,,,,,
,,2011-06-28,,,,,,,
1.08,1.08,2011-06-29,1.08,1.0575,1.0575,1778.0,,,
1.1925,1.1925,2011-06-30,1.1925,1.125,1.125,9333.0,,,
1.35,1.35,2011-07-01,1.35,1.35,1.35,1956.0,,,
,,2011-07-04,,,,,,,
,,2011-07-05,,,,,,,
,,2011-07-06,,,,,,,
,,2011-07-07,,,,,,,
,,2011-07-08,,,,,,,
,,2011-07-11,,,,,,,
,,2011-07-12,,,,,,,
,,2011-07-13,,,,,,,
,,2011-07-14,,,,,,,
,,2011-07-15,,,,,,,
1.35,1.35,2011-07-18,1.35,1.35,1.35,1467.0,,,
1.2,1.2,2011-07-19,1.2,1.2,1.2,1667.0,,,
1.35,1.35,2011-07-20,1.35,1.32,1.32,667.0,,,
,,2011-07-21,,,,,,,
1.35,1.35,2011-07-22,1.35,1.35,1.35,667.0,,,
1.35,1.35,2011-07-25,1.38,1.32,1.38,5333.0,,,
1.35,1.35,2011-07-26,1.35,1.35,1.35,373.0,,,
,,2011-07-27,,,,,,,
,,2011-07-28,,,,,,,
,,2011-07-29,,,,,,,
1.5,1.5,2011-08-02,1.53,1.5,1.5,5000.0,,,
,,2011-08-03,,,,,,,
1.98,1.98,2011-08-04,1.98,1.98,1.98,2333.0,,,
1.83,1.83,2011-08-05,1.83,1.83,1.83,3333.0,,,
,,2011-08-08,,,,,,,
1.35,1.35,2011-08-09,1.5,1.35,1.5,3433.0,,,
1.5,1.5,2011-08-10,1.5,1.5,1.5,3000.0,,,
1.5,1.5,2011-08-11,1.5,1.5,1.5,3667.0,,,
1.5,1.5,2011-08-12,1.5,1.5,1.5,6293.0,,,
,,2011-08-15,,,,,,,
,,2011-08-16,,,,,,,
,,2011-08-17,,,,,,,
1.5,1.5,2011-08-18,1.5,1.5,1.5,3333.0,,,
,,2011-08-19,,,,,,,
,,2011-08-22,,,,,,,
1.5,1.5,2011-08-23,1.5,1.5,1.5,267.0,,,
,,2011-08-24,,,,,,,
,,2011-08-25,,,,,,,
1.5,1.5,2011-08-26,1.5,1.5,1.5,1400.0,,,
,,2011-08-29,,,,,,,
,,2011-08-30,,,,,,,
,,2011-08-31,,,,,,,
,,2011-09-01,,,,,,,
1.2,1.2,2011-09-02,1.2,1.2,1.2,1333.0,,,
1.5,1.5,2011-09-05,1.5,1.5,1.5,3333.0,,,
,,2011-09-06,,,,,,,
1.5,1.5,2011-09-07,1.5,1.5,1.5,13615.0,,,
,,2011-09-08,,,,,,,
1.5,1.5,2011-09-09,1.5,1.5,1.5,6667.0,,,
,,2011-09-12,,,,,,,
,,2011-09-13,,,,,,,
,,2011-09-14,,,,,,,
1.53,1.53,2011-09-15,1.53,1.53,1.53,5563.0,,,
1.5,1.5,2011-09-16,1.5,1.5,1.5,52.0,,,
,,2011-09-19,,,,,,,
,,2011-09-20,,,,,,,
,,2011-09-21,,,,,,,
,,2011-09-22,,,,,,,
1.05,1.05,2011-09-23,1.05,1.05,1.05,1142.0,,,
,,2011-09-26,,,,,,,
,,2011-09-27,,,,,,,
,,2011-09-28,,,,,,,
1.14,1.14,2011-09-29,1.14,1.14,1.14,1303.0,,,
1.2,1.2,2011-09-30,1.2,1.2,1.2,19613.0,,,
1.2,1.2,2011-10-03,1.2,1.2,1.2,387.0,,,
,,2011-10-04,,,,,,,
1.5,1.5,2011-10-05,1.5,1.5,1.5,1948.0,,,
,,2011-10-06,,,,,,,
,,2011-10-09,,,,,,,
,,2011-10-10,,,,,,,
,,2011-10-11,,,,,,,
,,2011-10-12,,,,,,,
,,2011-10-13,,,,,,,
,,2011-10-16,,,,,,,
1.5,1.5,2011-10-17,1.5,1.5,1.5,138.0,,,
,,2011-10-18,,,,,,,
,,2011-10-19,,,,,,,
,,2011-10-20,,,,,,,
,,2011-10-23,,,,,,,
,,2011-10-24,,,,,,,
,,2011-10-25,,,,,,,
,,2011-10-26,,,,,,,
,,2011-10-27,,,,,,,
,,2011-10-30,,,,,,,
,,2011-11-01,,,,,,,
,,2011-11-02,,,,,,,
1.2,1.2,2011-11-03,1.2,1.2,1.2,8333.0,,,
,,2011-11-06,,,,,,,
,,2011-11-07,,,,,,,
,,2011-11-08,,,,,,,
,,2011-11-09,,,,,,,
,,2011-11-10,,,,,,,
,,2011-11-13,,,,,,,
,,2011-11-14,,,,,,,
,,2011-11-15,,,,,,,
1.2,1.2,2011-11-16,1.2,1.2,1.2,0.0,,,
1.2,1.2,2011-11-17,1.2,1.2,1.2,0.0,,,
1.2,1.2,2011-11-20,1.2,1.2,1.2,0.0,,,
0.9,0.9,2011-11-21,0.9,0.6,0.6,1352.0,,,
0.9,0.9,2011-11-22,0.9,0.9,0.9,148.0,,,
0.9,0.9,2011-11-23,0.9,0.9,0.9,0.0,,,
0.9,0.9,2011-11-24,0.9,0.9,0.9,0.0,,,
0.9,0.9,2011-11-27,0.9,0.9,0.9,0.0,,,
0.9,0.9,2011-11-28,0.9,0.9,0.9,0.0,,,
0.75,0.75,2011-11-29,0.75,0.75,0.75,66667.0,,,
0.75,0.75,2011-11-30,0.75,0.75,0.75,0.0,,,
0.75,0.75,2011-12-01,0.75,0.75,0.75,0.0,,,
0.75,0.75,2011-12-04,0.75,0.75,0.75,0.0,,,
0.75,0.75,2011-12-05,0.75,0.75,0.75,0.0,,,
0.75,0.75,2011-12-06,0.75,0.75,0.75,0.0,,,
1.2,1.2,2011-12-07,1.2,1.2,1.2,200.0,,,
1.2,1.2,2011-12-08,1.2,1.2,1.2,0.0,,,
1.2,1.2,2011-12-11,1.2,1.2,1.2,0.0,,,
1.05,1.05,2011-12-12,1.05,1.05,1.05,1467.0,,,
1.08,1.08,2011-12-13,1.08,1.08,1.08,5084.0,,,
1.08,1.08,2011-12-14,1.08,1.08,1.08,0.0,,,
1.08,1.08,2011-12-15,1.08,1.08,1.08,0.0,,,
1.08,1.08,2011-12-18,1.08,1.08,1.08,0.0,,,
1.08,1.08,2011-12-19,1.08,1.08,1.08,0.0,,,
1.08,1.08,2011-12-20,1.08,1.08,1.08,0.0,,,
1.05,1.05,2011-12-21,1.08,1.05,1.08,5000.0,,,
1.05,1.05,2011-12-22,1.23,1.05,1.23,1196.0,,,
1.05,1.05,2011-12-27,1.05,1.05,1.05,0.0,,,
1.05,1.05,2011-12-28,1.05,1.05,1.05,0.0,,,
1.05,1.05,2011-12-29,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-02,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-03,1.05,1.05,1.05,6667.0,,,
1.05,1.05,2012-01-04,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-05,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-08,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-09,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-10,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-11,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-12,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-15,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-16,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-17,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-18,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-19,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-22,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-23,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-24,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-26,1.05,1.05,1.05,0.0,,,
,,2012-01-29,,,,,,,
1.05,1.05,2012-01-30,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-01-31,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-01,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-02,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-05,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-06,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-07,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-08,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-09,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-12,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-13,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-14,1.05,1.05,1.05,0.0,,,
1.05,1.05,2012-02-15,1.05,1.05,1.05,0.0,,,
0.75,0.75,2012-02-16,0.75,0.75,0.75,53333.0,,,
